,displayName,period_type,segmentCategory,segmentName,startDate,unitType,value
96,Gap,fiscal_year,Business Segment,Banana Republic Global,3/1/17,currency,2380000000
97,Gap,fiscal_year,Business Segment,Other,3/1/17,currency,919000000
98,Gap,fiscal_year,Geographic Segment,Other regions,3/1/17,currency,210000000
99,Gap,fiscal_year,Geographic Segment,Asia ,3/1/17,currency,1263000000
100,Gap,fiscal_year,Geographic Segment,Europe,3/1/17,currency,641000000
101,Gap,fiscal_year,Geographic Segment,Canada ,3/1/17,currency,1173000000
102,Gap,fiscal_year,Geographic Segment,United States ,3/1/17,currency,12568000000
103,Gap,fiscal_year,Geographic Segment,Other regions,3/1/18,currency,211000000
104,Gap,fiscal_year,Geographic Segment,Asia ,3/1/18,currency,1233000000
105,Gap,fiscal_year,Geographic Segment,Europe,3/1/18,currency,603000000
106,Gap,fiscal_year,Geographic Segment,Canada ,3/1/18,currency,1193000000
107,Gap,fiscal_year,Geographic Segment,United States ,3/1/18,currency,13340000000
108,Gap,fiscal_year,Business Segment,Other,3/1/18,currency,1124000000
109,Gap,fiscal_year,Business Segment,Banana Republic Global,3/1/18,currency,2456000000
110,Gap,fiscal_year,Business Segment,Old Navy Global,3/1/18,currency,7840000000
111,Gap,fiscal_year,Business Segment,Gap Global,3/1/18,currency,5160000000
112,Target,fiscal_year,Business Segment,"Beauty and Household Essentials, %",2/1/14,percentage,3081275985
113,Target,fiscal_year,Business Segment,"Food and Beverage, %",2/1/14,percentage,2588271827
114,Target,fiscal_year,Business Segment,"Apparel and Accessories, %",2/1/14,percentage,2341769749
115,Target,fiscal_year,Business Segment,"Home Furnishings and Décor, %",2/1/14,percentage,2095267670
116,Target,fiscal_year,Business Segment,"Hardlines, %",2/1/14,percentage,2218518709
117,Target,fiscal_year,Business Segment,"Beauty and Household Essentials, %",2/1/15,percentage,3204527024
118,Target,fiscal_year,Business Segment,"Food and Beverage, %",2/1/15,percentage,2588271827
119,Target,fiscal_year,Business Segment,"Apparel and Accessories, %",2/1/15,percentage,2341769749
120,Target,fiscal_year,Business Segment,"Home Furnishings and Décor, %",2/1/15,percentage,2095267670
121,Target,fiscal_year,Business Segment,"Hardlines, %",2/1/15,percentage,2095267670
122,Target,fiscal_year,Business Segment,"Beauty and Household Essentials, %",2/1/16,percentage,2711522867
123,Target,fiscal_year,Business Segment,"Food and Beverage, %",2/1/16,percentage,2711522867
124,Target,fiscal_year,Business Segment,"Apparel and Accessories, %",2/1/16,percentage,2465020788
125,Target,fiscal_year,Business Segment,"Home Furnishings and Décor, %",2/1/16,percentage,2341769749
126,Target,fiscal_year,Business Segment,"Hardlines, %",2/1/16,percentage,2095267670
127,Target,fiscal_year,Business Segment,"Beauty and Household Essentials, %",3/1/17,percentage,2834773906
128,Target,fiscal_year,Business Segment,"Food and Beverage, %",3/1/17,percentage,2465020788
129,Target,fiscal_year,Business Segment,"Apparel and Accessories, %",3/1/17,percentage,2465020788
130,Target,fiscal_year,Business Segment,"Home Furnishings and Décor, %",3/1/17,percentage,2341769749
131,Target,fiscal_year,Business Segment,"Hardlines, %",3/1/17,percentage,2218518709
132,Target,fiscal_year,Business Segment,Apparel and Accessories,3/1/18,currency,15004000000
133,Target,fiscal_year,Business Segment,Beauty and Household Essentials,3/1/18,currency,17726000000
134,Target,fiscal_year,Business Segment,Food and Beverage,3/1/18,currency,14585000000
135,Target,fiscal_year,Business Segment,Hardlines,3/1/18,currency,12709000000
136,Target,fiscal_year,Business Segment,Home Furnishings and Décor,3/1/18,currency,14298000000
137,Target,fiscal_year,Business Segment,Other Revenues,3/1/18,currency,111000000
138,Target,fiscal_year,Business Segment,Credit Card Profit Sharing,3/1/18,currency,673000000
139,Target,fiscal_year,Business Segment,Other,3/1/18,currency,250000000
140,Starbucks,fiscal_year,Business Segment,Company-operated Stores,11/1/15,currency,16844100000
141,Starbucks,fiscal_year,Business Segment,Licensed Stores,11/1/15,currency,2154200000
142,Starbucks,fiscal_year,Business Segment,"CPG, Foodservice and Other",11/1/15,currency,2317600000
143,Starbucks,fiscal_year,Geographic Segment,United States,11/1/15,currency,15774800000
144,Starbucks,fiscal_year,Geographic Segment,Other Countries,11/1/15,currency,5541100000
145,Starbucks,fiscal_year,Business Segment,Company-operated Stores,10/1/14,currency,15197300000
146,Starbucks,fiscal_year,Business Segment,Licensed Stores,10/1/14,currency,1861900000
147,Starbucks,fiscal_year,Business Segment,"CPG, Foodservice and Other",10/1/14,currency,2103500000
148,Starbucks,fiscal_year,Geographic Segment,United States,10/1/14,currency,14123700000
149,Starbucks,fiscal_year,Geographic Segment,Other Countries,10/1/14,currency,5039000000
150,Starbucks,fiscal_year,Business Segment,Company-operated Stores,11/1/16,currency,17650700000
151,Starbucks,fiscal_year,Business Segment,Licensed Stores,11/1/16,currency,2355000000
152,Starbucks,fiscal_year,Business Segment,"CPG, Foodservice and Other",11/1/16,currency,2381100000
153,Starbucks,fiscal_year,Geographic Segment,United States,11/1/16,currency,16527100000
154,Starbucks,fiscal_year,Geographic Segment,Other Countries,11/1/16,currency,5859700000
155,Starbucks,fiscal_year,Business Segment,"CPG, Foodservice and Other",10/1/17,currency,2377000000
156,Starbucks,fiscal_year,Business Segment,Licensed Stores,10/1/17,currency,2652200000
157,Starbucks,fiscal_year,Business Segment,Company-operated Stores,10/1/17,currency,19690300000
158,Starbucks,fiscal_year,Geographic Segment,Other Countries,10/1/17,currency,7310100000
159,Starbucks,fiscal_year,Geographic Segment,United States,10/1/17,currency,17409400000
160,Amazon,fiscal_year,Business Segment,North America,1/1/16,currency,79785000000
161,Amazon,fiscal_year,Business Segment,International,1/1/16,currency,43983000000
162,Amazon,fiscal_year,Business Segment,AWS,1/1/16,currency,12219000000
163,Amazon,fiscal_year,Geographic Segment,United States,1/1/16,currency,90349000000
164,Amazon,fiscal_year,Geographic Segment,Rest of World,1/1/16,currency,11146000000
165,Amazon,fiscal_year,Geographic Segment,Japan,1/1/16,currency,10797000000
166,Amazon,fiscal_year,Geographic Segment,United Kingdom,1/1/16,currency,9547000000
167,Amazon,fiscal_year,Geographic Segment,Germany,1/1/16,currency,14148000000
168,Amazon,fiscal_year,Business Segment,North America,1/1/17,currency,1.0611E+11
169,Amazon,fiscal_year,Business Segment,International,1/1/17,currency,54297000000
170,Amazon,fiscal_year,Business Segment,AWS,1/1/17,currency,17459000000
171,Amazon,fiscal_year,Geographic Segment,United States,1/1/17,currency,1.20486E+11
172,Amazon,fiscal_year,Geographic Segment,Rest of World,1/1/17,currency,17150000000
173,Amazon,fiscal_year,Geographic Segment,Japan,1/1/17,currency,11907000000
174,Amazon,fiscal_year,Geographic Segment,United Kingdom,1/1/17,currency,11372000000
175,Amazon,fiscal_year,Geographic Segment,Germany,1/1/17,currency,16951000000
176,Amazon,fiscal_year,Business Segment,North America,1/1/18,currency,1.41366E+11
177,Amazon,fiscal_year,Business Segment,International,1/1/18,currency,65866000000
178,Amazon,fiscal_year,Business Segment,AWS,1/1/18,currency,25655000000
179,Amazon,fiscal_year,Geographic Segment,United States,1/1/18,currency,1.60146E+11
180,Amazon,fiscal_year,Geographic Segment,Rest of World,1/1/18,currency,24507000000
181,Amazon,fiscal_year,Geographic Segment,Japan,1/1/18,currency,13829000000
182,Amazon,fiscal_year,Geographic Segment,United Kingdom,1/1/18,currency,14524000000
183,Amazon,fiscal_year,Geographic Segment,Germany,1/1/18,currency,19881000000
184,Reckitt Benckiser,fiscal_year,Business Segment,Health,1/1/16,currency,3332000000
185,Reckitt Benckiser,fiscal_year,Business Segment,Hygiene,1/1/16,currency,4066000000
186,Reckitt Benckiser,fiscal_year,Business Segment,Home,1/1/16,currency,1828000000
187,Reckitt Benckiser,fiscal_year,Business Segment,Portfolio,1/1/16,currency,665000000
188,Reckitt Benckiser,fiscal_year,Business Segment,Health,1/1/17,currency,5090000000
189,Reckitt Benckiser,fiscal_year,Business Segment,Hygiene,1/1/17,currency,4313000000
190,Reckitt Benckiser,fiscal_year,Business Segment,Home,1/1/17,currency,1860000000
191,Reckitt Benckiser,fiscal_year,Business Segment,Portfolio,1/1/17,currency,249000000
192,Costco,fiscal_year,Geographic Segment,United States Operations,9/1/15,currency,86579000000
193,Costco,fiscal_year,Geographic Segment,Canadian Operations,9/1/15,currency,17028000000
194,Costco,fiscal_year,Geographic Segment,Other International Operations,9/1/15,currency,15112000000
195,Costco,fiscal_year,Geographic Segment,United States Operations,10/1/16,currency,93889000000
196,Costco,fiscal_year,Geographic Segment,Canadian Operations,10/1/16,currency,18775000000
197,Costco,fiscal_year,Geographic Segment,Other International Operations,10/1/16,currency,16361000000
198,Costco,fiscal_year,Geographic Segment,Other International Operations,10/1/17,currency,18601000000
199,Costco,fiscal_year,Geographic Segment,Canadian Operations,10/1/17,currency,20689000000
200,Costco,fiscal_year,Geographic Segment,United States Operations,10/1/17,currency,1.02286E+11
201,Walmart,fiscal_year,Business Segment,Walmart U.S.,2/1/15,currency,2.98378E+11
202,Walmart,fiscal_year,Business Segment,Walmart International,2/1/15,currency,1.23408E+11
203,Walmart,fiscal_year,Business Segment,Sam's Club,2/1/15,currency,56828000000
204,Walmart,fiscal_year,Geographic Segment,U.S. Operations,2/1/15,currency,3.57559E+11
205,Walmart,fiscal_year,Geographic Segment,Non-U.S. Operations,2/1/15,currency,1.24571E+11
206,Walmart,fiscal_year,Geographic Segment,Non-U.S. Operations,2/1/14,currency,1.37424E+11
207,Walmart,fiscal_year,Geographic Segment,U.S. Operations,2/1/14,currency,3.48227E+11
208,Walmart,fiscal_year,Business Segment,Walmart U.S.,2/1/14,currency,2.88049E+11
209,Walmart,fiscal_year,Business Segment,Walmart International,2/1/14,currency,1.3616E+11
210,Walmart,fiscal_year,Business Segment,Sam's Club,2/1/14,currency,58020000000
211,Walmart,fiscal_year,Business Segment,Walmart U.S.,2/1/16,currency,3.07833E+11
212,Walmart,fiscal_year,Business Segment,Walmart International,2/1/16,currency,1.16119E+11
213,Walmart,fiscal_year,Business Segment,Sam's Club,2/1/16,currency,57365000000
214,Walmart,fiscal_year,Geographic Segment,U.S. Operations,2/1/16,currency,3.67784E+11
215,Walmart,fiscal_year,Geographic Segment,Non-U.S. Operations,2/1/16,currency,1.18089E+11
216,Walmart,fiscal_year,Business Segment,Walmart U.S.,2/1/17,currency,3.18477E+11
217,Walmart,fiscal_year,Business Segment,Walmart International,2/1/17,currency,1.08068E+11
218,Walmart,fiscal_year,Business Segment,Sam's Club,2/1/17,currency,59216000000
219,Walmart,fiscal_year,Geographic Segment,U.S. Operations,2/1/17,currency,3.8058E+11
220,Walmart,fiscal_year,Geographic Segment,Non-U.S. Operations,2/1/17,currency,1.19763E+11
221,Walmart,fiscal_year,Business Segment,Walmart U.S.,2/1/18,currency,3.31666E+11
222,Walmart,fiscal_year,Business Segment,Walmart International,2/1/18,currency,1.20824E+11
223,Walmart,fiscal_year,Business Segment,Sam's Club,2/1/18,currency,57839000000
224,Walmart,fiscal_year,Geographic Segment,U.S. Operations,2/1/18,currency,3.92265E+11
225,Walmart,fiscal_year,Geographic Segment,Non-U.S. Operations,2/1/18,currency,1.2214E+11
226,Kroger,fiscal_year,Business Segment,Non Perishable,2/1/16,currency,60220000000
227,Kroger,fiscal_year,Business Segment,Perishable,2/1/16,currency,27666000000
228,Kroger,fiscal_year,Business Segment,Fuel,2/1/16,currency,13979000000
229,Kroger,fiscal_year,Business Segment,Pharmacy,2/1/16,currency,10432000000
230,Kroger,fiscal_year,Business Segment,Other ,2/1/16,currency,3040000000
231,Kroger,fiscal_year,Business Segment,Non Perishable,3/1/17,currency,62378000000
232,Kroger,fiscal_year,Business Segment,Perishable,3/1/17,currency,29145000000
233,Kroger,fiscal_year,Business Segment,Fuel,3/1/17,currency,16246000000
234,Kroger,fiscal_year,Business Segment,Pharmacy,3/1/17,currency,10752000000
235,Kroger,fiscal_year,Business Segment,Other ,3/1/17,currency,4141000000
236,Kroger,fiscal_year,Business Segment,Non Perishable,3/1/17,currency,62378000000
237,Kroger,fiscal_year,Business Segment,Perishable,3/1/17,currency,29145000000
238,Kroger,fiscal_year,Business Segment,Fuel,3/1/17,currency,16246000000
239,Kroger,fiscal_year,Business Segment,Pharmacy,3/1/17,currency,10752000000
240,Kroger,fiscal_year,Business Segment,Other ,3/1/17,currency,4141000000
241,Kroger,fiscal_year,Business Segment,Convenience Stores,3/1/18,currency,944000000
242,Kroger,fiscal_year,Business Segment,Supermarket Fuel,3/1/18,currency,14903000000
243,Kroger,fiscal_year,Business Segment,Fresh,3/1/18,currency,29089000000
244,Kroger,fiscal_year,Business Segment,Other ,3/1/18,currency,4959000000
245,Kroger,fiscal_year,Business Segment,Pharmacy,3/1/18,currency,10617000000
246,Kroger,fiscal_year,Business Segment,Non Perishable,3/1/18,currency,60649000000
247,Marks & Spencer,fiscal_year,Business Segment,Clothing & Home Revenue (UK),4/1/17,currency,3741100000
248,Marks & Spencer,fiscal_year,Business Segment,Franchised,4/1/17,currency,360600000
249,Marks & Spencer,fiscal_year,Business Segment,Owned,4/1/17,currency,726600000
250,Marks & Spencer,fiscal_year,Geographic Segment,UK Revenue,4/1/17,currency,9611000000
251,Marks & Spencer,fiscal_year,Geographic Segment,International Revenue,4/1/17,currency,1087200000
252,Marks & Spencer,fiscal_year,Business Segment,Food Revenue,4/1/17,currency,5869900000
253,Marks & Spencer,fiscal_year,Business Segment,Clothing & Home Revenue (UK),5/1/16,currency,3792700000
254,Marks & Spencer,fiscal_year,Business Segment,Franchised,5/1/16,currency,314000000
255,Marks & Spencer,fiscal_year,Business Segment,Owned,5/1/16,currency,866300000
256,Marks & Spencer,fiscal_year,Geographic Segment,UK Revenue,5/1/16,currency,9441700000
257,Marks & Spencer,fiscal_year,Geographic Segment,International Revenue,5/1/16,currency,1180300000
258,Marks & Spencer,fiscal_year,Business Segment,Food Revenue,5/1/16,currency,5649000000
259,Marks & Spencer,fiscal_year,Business Segment,Clothing & Home Revenue (UK),5/1/15,currency,3961300000
260,Marks & Spencer,fiscal_year,Business Segment,Franchised,5/1/15,currency,329700000
261,Marks & Spencer,fiscal_year,Business Segment,Owned,5/1/15,currency,754900000
262,Marks & Spencer,fiscal_year,Geographic Segment,UK Revenue,5/1/15,currency,9470800000
263,Marks & Spencer,fiscal_year,Geographic Segment,International Revenue,5/1/15,currency,1084600000
264,Marks & Spencer,fiscal_year,Business Segment,Food Revenue,5/1/15,currency,5509500000
265,Marks & Spencer,fiscal_year,Business Segment,Clothing & Home Revenue (UK),4/1/14,currency,3988400000
266,Marks & Spencer,fiscal_year,Business Segment,Franchised,4/1/14,currency,341300000
267,Marks & Spencer,fiscal_year,Business Segment,Owned,4/1/14,currency,747000000
268,Marks & Spencer,fiscal_year,Geographic Segment,UK Revenue,4/1/14,currency,9223100000
269,Marks & Spencer,fiscal_year,Geographic Segment,International Revenue,4/1/14,currency,1088300000
270,Marks & Spencer,fiscal_year,Business Segment,Food Revenue,4/1/14,currency,5234700000
271,Procter & Gamble,fiscal_year,Business Segment,BEAUTY,7/1/14,currency,12608000000
272,Procter & Gamble,fiscal_year,Business Segment,GROOMING,7/1/14,currency,7441000000
273,Procter & Gamble,fiscal_year,Business Segment,HEALTH CARE,7/1/14,currency,7713000000
274,Procter & Gamble,fiscal_year,Business Segment,FABRIC & HOME CARE,7/1/14,currency,22274000000
275,Procter & Gamble,fiscal_year,Business Segment,"BABY, FEMININE & FAMILY CARE",7/1/14,currency,20247000000
276,Procter & Gamble,fiscal_year,Business Segment,BEAUTY,7/1/15,currency,11477000000
277,Procter & Gamble,fiscal_year,Business Segment,GROOMING,7/1/15,currency,6815000000
278,Procter & Gamble,fiscal_year,Business Segment,HEALTH CARE,7/1/15,currency,7350000000
279,Procter & Gamble,fiscal_year,Business Segment,FABRIC & HOME CARE,7/1/15,currency,20730000000
280,Procter & Gamble,fiscal_year,Business Segment,"BABY, FEMININE & FAMILY CARE",7/1/15,currency,18505000000
281,Procter & Gamble,fiscal_year,Business Segment,BEAUTY,7/1/16,currency,11429000000
282,Procter & Gamble,fiscal_year,Business Segment,GROOMING,7/1/16,currency,6642000000
283,Procter & Gamble,fiscal_year,Business Segment,HEALTH CARE,7/1/16,currency,7513000000
284,Procter & Gamble,fiscal_year,Business Segment,FABRIC & HOME CARE,7/1/16,currency,20717000000
285,Procter & Gamble,fiscal_year,Business Segment,"BABY, FEMININE & FAMILY CARE",7/1/16,currency,18252000000
286,Wayfair,fiscal_year,Business Segment,Direct Retail,1/1/16,currency,3258909000
287,Wayfair,fiscal_year,Business Segment,Other,1/1/16,currency,121451000
288,Wayfair,fiscal_year,Geographic Segment,International ,1/1/16,currency,269863000
289,Wayfair,fiscal_year,Geographic Segment,United States ,1/1/16,currency,3110497000
290,Wayfair,fiscal_year,Business Segment,Direct Retail,1/1/17,currency,4643243000
291,Wayfair,fiscal_year,Business Segment,Other,1/1/17,currency,77652000
292,Wayfair,fiscal_year,Geographic Segment,International ,1/1/17,currency,567838000
293,Wayfair,fiscal_year,Geographic Segment,United States ,1/1/17,currency,4153057000
294,Wayfair,fiscal_year,Geographic Segment,International ,1/1/18,currency,966104000
295,Wayfair,fiscal_year,Geographic Segment,United States ,1/1/18,currency,5813070000
296,Wayfair,fiscal_year,Business Segment,Other,1/1/18,currency,61095000
297,Wayfair,fiscal_year,Business Segment,Direct Retail,1/1/18,currency,6718079000
298,Sainsbury's,fiscal_year,Business Segment,Retail,4/1/15,currency,23168000000
299,Sainsbury's,fiscal_year,Business Segment,Financial Services,4/1/15,currency,338000000
300,Sainsbury's,fiscal_year,Business Segment,Retail,4/1/14,currency,23443000000
301,Sainsbury's,fiscal_year,Business Segment,Financial Services,4/1/14,currency,332000000
302,Sainsbury's,fiscal_year,Business Segment,Retail,4/1/16,currency,25824000000
303,Sainsbury's,fiscal_year,Business Segment,Financial Services,4/1/16,currency,400000000
304,Sainsbury's,fiscal_year,Business Segment,Retail,4/1/17,currency,27944000000
305,Sainsbury's,fiscal_year,Business Segment,Financial Services,4/1/17,currency,512000000
306,Sysco,fiscal_year,Business Segment,SYGMA,8/1/15,currency,6102328000
307,Sysco,fiscal_year,Business Segment,Other,8/1/15,currency,1051939000
308,Sysco,fiscal_year,Geographic Segment,United States,8/1/15,currency,44922937000
309,Sysco,fiscal_year,Geographic Segment,Canada,8/1/15,currency,4486282000
310,Sysco,fiscal_year,Geographic Segment,Other,8/1/15,currency,957700000
311,Sysco,fiscal_year,Business Segment,U.S. Foodservice Operations,8/1/15,currency,37776443000
312,Sysco,fiscal_year,Business Segment,International Foodservice Operations ,8/1/15,currency,5436209000
313,Sysco,fiscal_year,Geographic Segment,Other,8/1/16,currency,2227374000
314,Sysco,fiscal_year,Business Segment,U.S. Foodservice Operations,8/1/16,currency,37604698000
315,Sysco,fiscal_year,Business Segment,International Foodservice Operations ,8/1/16,currency,10613059000
316,Sysco,fiscal_year,Business Segment,SYGMA,8/1/16,currency,6178909000
317,Sysco,fiscal_year,Geographic Segment,France,8/1/16,currency,1426973000
